Sample	Year	Country	City	latitude	longitude
Thai5	2012	Thailand	Mae Sot	16.7217	98.5666
Thai6	2012	Thailand	Mae Sot	16.7217	98.5666
Thai7	2012	Thailand	Mae Sot	16.7217	98.5666
Thai8	2012	Thailand	Mae Sot	16.7217	98.5666
Thai9	2012	Thailand	Mae Sot	16.7217	98.5666
Thai10	2012	Thailand	Mae Sot	16.7217	98.5666
Thai11	2012	Thailand	Mae Sot	16.7217	98.5666
Thai12	2012	Thailand	Mae Sot	16.7217	98.5666
Thai13	2012	Thailand	Mae Sot	16.7217	98.5666
Thai14	2012	Thailand	Mae Sot	16.7217	98.5666
Thai15	2012	Thailand	Mae Sot	16.7217	98.5666
Thai16	2012	Thailand	Mae Sot	16.7217	98.5666
Thai17	2012	Thailand	Mae Sot	16.7217	98.5666
Thai18	2012	Thailand	Mae Sot	16.7217	98.5666
Thai19	2012	Thailand	Mae Sot	16.7217	98.5666
Thai20	2012	Thailand	Mae Sot	16.7217	98.5666
Thai21	2012	Thailand	Mae Sot	16.7217	98.5666
Thai22	2012	Thailand	Mae Sot	16.7217	98.5666
Thai23	2012	Thailand	Mae Sot	16.7217	98.5666
Thai24	2012	Thailand	Mae Sot	16.7217	98.5666
Thai25	2012	Thailand	Mae Sot	16.7217	98.5666
Thai26	2012	Thailand	Mae Sot	16.7217	98.5666
Thai27	2012	Thailand	Mae Sot	16.7217	98.5666
Thai28	2012	Thailand	Mae Sot	16.7217	98.5666
Thai29	2012	Thailand	Mae Sot	16.7217	98.5666
Thai30	2012	Thailand	Mae Sot	16.7217	98.5666
Thai31	2012	Thailand	Mae Sot	16.7217	98.5666
Thai32	2012	Thailand	Mae Sot	16.7217	98.5666
Thai33	2012	Thailand	Mae Sot	16.7217	98.5666
Thai34	2012	Thailand	Mae Sot	16.7217	98.5666
Thai35	2012	Thailand	Mae Sot	16.7217	98.5666
Thai36	2012	Thailand	Mae Sot	16.7217	98.5666
Thai37	2012	Thailand	Mae Sot	16.7217	98.5666
Thai38	2012	Thailand	Mae Sot	16.7217	98.5666
Thai39	2012	Thailand	Mae Sot	16.7217	98.5666
Thai40	2012	Thailand	Mae Sot	16.7217	98.5666
Thai41	2012	Thailand	Mae Sot	16.7217	98.5666
Thai42	2012	Thailand	Mae Sot	16.7217	98.5666
Thai43	2012	Thailand	Mae Sot	16.7217	98.5666
Thai44	2012	Thailand	Mae Sot	16.7217	98.5666
Thai45	2012	Thailand	Wang Pha	19.121	100.811
Thai46	2012	Thailand	Wang Pha	19.121	100.811
Thai47	2012	Thailand	Wang Pha	19.121	100.811
Cambodia1	2012	Cambodia	Pailin	12.8453	102.614
Cambodia2	2012	Cambodia	Pailin	12.8453	102.614
Cambodia3	2012	Cambodia	Pailin	12.8453	102.614
Cambodia4	2012	Cambodia	Pailin	12.8453	102.614
Cambodia5	2012	Cambodia	Pailin	12.8453	102.614
Cambodia6	2012	Cambodia	Pailin	12.8453	102.614
Cambodia7	2012	Cambodia	Pailin	12.8453	102.614
Cambodia8	2012	Cambodia	Pailin	12.8453	102.614
Cambodia9	2012	Cambodia	Pailin	12.8453	102.614
Cambodia10	2012	Cambodia	Pailin	12.8453	102.614
Cambodia11	2012	Cambodia	Pailin	12.8453	102.614
Cambodia12	2012	Cambodia	Pailin	12.8453	102.614
Cambodia13	2012	Cambodia	Pailin	12.8453	102.614
Cambodia14	2012	Cambodia	Pailin	12.8453	102.614
Cambodia15	2012	Cambodia	Pailin	12.8453	102.614
Cambodia16	2012	Cambodia	Pailin	12.8453	102.614
Cambodia17	2012	Cambodia	Pailin	12.8453	102.614
Cambodia18	2012	Cambodia	Pailin	12.8453	102.614
Cambodia19	2012	Cambodia	Pailin	12.8453	102.614
Cambodia20	2012	Cambodia	Pailin	12.8453	102.614
Cambodia21	2012	Cambodia	Pailin	12.8453	102.614
Cambodia22	2012	Cambodia	Pailin	12.8453	102.614
Cambodia23	2012	Cambodia	Pailin	12.8453	102.614
Cambodia24	2012	Cambodia	Pailin	12.8453	102.614
Cambodia25	2012	Cambodia	Pailin	12.8453	102.614
Cambodia26	2012	Cambodia	Pailin	12.8453	102.614
Cambodia27	2012	Cambodia	Pailin	12.8453	102.614
Cambodia28	2012	Cambodia	Pailin	12.8453	102.614
Cambodia29	2012	Cambodia	Pailin	12.8453	102.614
Cambodia30	2012	Cambodia	Pailin	12.8453	102.614
Cambodia31	2012	Cambodia	Pailin	12.8453	102.614
Cambodia32	2012	Cambodia	Pailin	12.8453	102.614
Cambodia33	2012	Cambodia	Pailin	12.8453	102.614
Cambodia34	2012	Cambodia	Pailin	12.8453	102.614
Cambodia35	2012	Cambodia	Pailin	12.8453	102.614
Cambodia36	2012	Cambodia	Pailin	12.8453	102.614
Cambodia37	2012	Cambodia	Pailin	12.8453	102.614
Cambodia38	2012	Cambodia	Pailin	12.8453	102.614
BurkinaFaso1	2012	Burkina Faso	Ouezzin-ville	11.181	-4.263
BurkinaFaso2	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso3	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso4	2012	Burkina Faso	Ouezzin-ville	11.181	-4.263
BurkinaFaso5	2012	Burkina Faso	Ouezzin-ville	11.181	-4.263
BurkinaFaso6	2012	Burkina Faso	Colsamma	11.1797	-4.3268
BurkinaFaso7	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso8	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso9	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso10	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso11	2012	Burkina Faso	Ouezzin-ville	11.181	-4.263
BurkinaFaso12	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso13	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso14	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso15	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso16	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso17	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso18	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso19	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso20	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso21	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso22	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso23	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso24	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso25	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso26	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso27	2012	Burkina Faso	Colsamma	11.1797	-4.3268
BurkinaFaso28	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso29	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso30	2012	Burkina Faso	Ouezzin-ville	11.181	-4.263
BurkinaFaso31	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso32	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso33	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso34	2012	Burkina Faso	Colsamma	11.1797	-4.3268
BurkinaFaso35	2012	Burkina Faso	Colsamma	11.1797	-4.3268
BurkinaFaso36	2012	Burkina Faso	Ouezzin-ville	11.181	-4.263
BurkinaFaso37	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso38	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso39	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso40	2012	Burkina Faso	Colsamma	11.1797	-4.3268
BurkinaFaso41	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso42	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso43	2012	Burkina Faso	Sakaby	11.2168	-4.2824
BurkinaFaso44	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso45	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso46	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
BurkinaFaso47	2012	Burkina Faso	Bobo-Dioulasso	11.1735	-4.3061
Mali1	2012	Mali	Kolle	12.5546	-7.9981
Mali2	2012	Mali	Kolle	12.5546	-7.9981
Mali3	2012	Mali	Kolle	12.5546	-7.9981
Mali4	2012	Mali	Faladie	13.128	-8.3454
Mali5	2012	Mali	Faladie	13.128	-8.3454
Mali6	2012	Mali	Faladie	13.128	-8.3454
Mali7	2012	Mali	Faladie	13.128	-8.3454
Mali8	2012	Mali	Faladie	13.128	-8.3454
Mali9	2012	Mali	Faladie	13.128	-8.3454
Mali10	2012	Mali	Faladie	13.128	-8.3454
Mali11	2012	Mali	Faladie	13.128	-8.3454
Mali12	2012	Mali	Faladie	13.128	-8.3454
Mali13	2012	Mali	Kolle	12.5546	-7.9981
Mali14	2012	Mali	Kolle	12.5546	-7.9981
Mali15	2012	Mali	Kolle	12.5546	-7.9981
Mali16	2012	Mali	Kolle	12.5546	-7.9981
Mali17	2012	Mali	Kolle	12.5546	-7.9981
Mali18	2012	Mali	Kolle	12.5546	-7.9981
Mali19	2012	Mali	Kolle	12.5546	-7.9981
Mali20	2012	Mali	Kolle	12.5546	-7.9981
Mali21	2012	Mali	Kolle	12.5546	-7.9981
Mali22	2012	Mali	Kolle	12.5546	-7.9981
Mali23	2012	Mali	Kolle	12.5546	-7.9981
Mali24	2012	Mali	Kolle	12.5546	-7.9981
Mali25	2012	Mali	Kolle	12.5546	-7.9981
Mali26	2012	Mali	Kolle	12.5546	-7.9981
Mali27	2012	Mali	Kolle	12.5546	-7.9981
Mali28	2012	Mali	Kolle	12.5546	-7.9981
Mali29	2012	Mali	Kolle	12.5546	-7.9981
Mali30	2012	Mali	Kolle	12.5546	-7.9981
Mali31	2012	Mali	Kolle	12.5546	-7.9981
Mali32	2012	Mali	Kolle	12.5546	-7.9981
Mali33	2012	Mali	Kolle	12.5546	-7.9981
Mali34	2012	Mali	Kolle	12.5546	-7.9981
Mali35	2012	Mali	Kolle	12.5546	-7.9981
Mali36	2012	Mali	Kolle	12.5546	-7.9981
Mali37	2012	Mali	Kolle	12.5546	-7.9981
Mali38	2012	Mali	Faladie	13.128	-8.3454
Mali39	2012	Mali	Faladie	13.128	-8.3454
Mali40	2012	Mali	Faladie	13.128	-8.3454
Mali41	2012	Mali	Faladie	13.128	-8.3454
Mali42	2012	Mali	Faladie	13.128	-8.3454
Mali43	2012	Mali	Faladie	13.128	-8.3454
Mali44	2012	Mali	Faladie	13.128	-8.3454
Mali45	2012	Mali	Faladie	13.128	-8.3454
Mali46	2012	Mali	Faladie	13.128	-8.3454
Mali47	2012	Mali	Faladie	13.128	-8.3454
Mali48	2012	Mali	Faladie	13.128	-8.3454
Mali49	2012	Mali	Faladie	13.128	-8.3454
Mali50	2012	Mali	Bandiagara	14.3445	-3.6054
Mali51	2012	Mali	Bandiagara	14.3445	-3.6054
Mali52	2012	Mali	Bandiagara	14.3445	-3.6054
PapuaNewGuinea10	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea11	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea12	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea13	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea14	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea15	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea16	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea17	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea18	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea19	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea1	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea20	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea21	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea22	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea23	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea24	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea25	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea26	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea27	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea28	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea2	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea3	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea4	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea5	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea6	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea7	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea8	2012	PapuaNewGuinea	Port Moresby		
PapuaNewGuinea9	2012	PapuaNewGuinea	Port Moresby		
